Headache,"A pain or discomfort in the head or face area."
Fever,"An increase in body temperature, often due to infection."
Cough,"A sudden, forceful release of air from the lungs, often to clear irritants."
Nausea,"A sensation of wanting to vomit, often accompanied by discomfort."
Dizziness,"A feeling of lightheadedness or the sensation of spinning."
Fatigue,"Extreme tiredness or lack of energy."
Sore throat,"Pain or irritation in the throat, often associated with infection."
Chest pain,"Discomfort or pain in the chest area, sometimes indicating heart problems."
Shortness of breath,"Difficulty or labored breathing, sometimes caused by respiratory issues."
Abdominal pain,"Discomfort or pain in the stomach or lower abdomen area."
Joint pain,"Pain or discomfort in the joints, often caused by inflammation or injury."
Back pain,"Pain in the back, typically caused by muscle strain or spinal problems."
Muscle aches,"Pain or soreness in the muscles, often from overuse or injury."
Runny nose,"Excessive mucus production from the nasal passages, often caused by a cold."
Congestion,"Blocked nasal passages due to swelling or mucus buildup."
Loss of appetite,"A decrease in the desire to eat, often due to illness or stress."
Insomnia,"Difficulty falling or staying asleep, leading to inadequate rest."
Sweating,"Excessive perspiration, often due to heat, exercise, or illness."
Chills,"Shivering or feeling cold, often due to fever or infection."
Vomiting,"The forceful expulsion of stomach contents through the mouth."
Diarrhea,"Frequent, loose, or watery stools, often caused by infection or digestive issues."
Constipation,"Difficulty in passing stools or infrequent bowel movements."
Heart palpitations,"Rapid, irregular, or strong heartbeat, sometimes felt in the chest."
Rash,"An area of irritated or swollen skin, often with a change in color or texture."
Itching,"An uncomfortable sensation that causes a desire to scratch the skin."
Swelling,"Enlargement or puffiness in a part of the body, often caused by inflammation."
Weight loss,"Unintentional loss of body weight, often due to illness or other conditions."
Weight gain,"Unintentional increase in body weight, often due to dietary or health factors."
Hearing loss,"Partial or complete inability to hear, often due to ear damage or infection."
Vision problems,"Any impairment or distortion in sight, including blurry vision or eye strain."
Cramps,"Painful muscle contractions, often in the abdomen or legs."
Numbness,"Loss of feeling or sensation in a part of the body, often in the hands or feet."
Tingling,"A prickling or "pins and needles" sensation, often in the limbs."
Frequent urination,"The need to urinate more often than usual."
Painful urination,"Discomfort or pain during urination, often caused by infections or irritation."
Bloody urine,"Presence of blood in the urine, often a sign of kidney or bladder issues."
Dark urine,"Urine that appears darker than usual, potentially indicating dehydration or liver problems."
Jaundice,"A yellowing of the skin or eyes, often related to liver or bile duct issues."
Dry mouth,"A feeling of dryness in the mouth, often caused by dehydration or medications."
Bad breath,"An unpleasant odor coming from the mouth, often due to poor oral hygiene or infection."
Thirst,"An intense desire to drink liquids, often a sign of dehydration."
Fainting,"A sudden loss of consciousness, often due to a drop in blood pressure."
Mood swings,"Frequent and abrupt changes in emotional state."
Anxiety,"A feeling of worry, nervousness, or unease, often accompanied by a rapid heartbeat."
Depression,"A state of low mood and loss of interest in activities, affecting daily functioning."
Memory loss,"Difficulty recalling information or events, often linked to aging or neurological issues."
Confusion,"A lack of clarity or understanding, often caused by illness or injury."
Hallucinations,"Perception of things that are not present, such as seeing or hearing things."
Seizures,"Episodes of abnormal brain activity causing involuntary body movements or loss of consciousness."
Bleeding,"The loss of blood from the body, often due to injury or internal issues."
Bruising,"Discoloration of the skin caused by blood pooling under the skin after an injury."
Gum bleeding,"Bleeding from the gums, often caused by gum disease or oral health problems."
Coughing up blood,"The presence of blood in sputum, often a sign of a serious respiratory condition."
Cold hands or feet,"Reduced blood flow to the extremities, often due to poor circulation."
Heartburn,"A burning sensation in the chest or throat, often caused by acid reflux."
Acid reflux,"A condition where stomach acid flows backward into the esophagus."
Stomach bloating,"A feeling of fullness or swelling in the stomach, often caused by digestive issues."
Indigestion,"Discomfort or pain in the stomach after eating, often accompanied by bloating."
Constipation,"Difficulty passing stools, often accompanied by abdominal discomfort."
Excessive thirst,"An intense desire to drink fluids, often associated with diabetes or dehydration."
